date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased
2021-05-08,2864,25,489087,8261
2021-05-07,3166,23,486223,8236
2021-05-06,3424,26,483057,8213
2021-05-05,2941,44,479633,8187
2021-05-04,2791,25,476692,8143
2021-05-03,3436,16,473901,8118
2021-05-02,3732,23,470465,8102
2021-05-01,3369,29,466733,8079
2021-04-30,3887,21,463364,8050
2021-04-29,3871,41,459477,8029
2021-04-28,3480,24,455606,7988
2021-04-27,3265,29,452126,7964
2021-04-26,3510,24,448861,7935
2021-04-25,3947,24,445351,7911
2021-04-24,4094,24,441404,7887
2021-04-23,4505,34,437310,7863
2021-04-22,3682,40,432805,7829
2021-04-21,4212,32,429123,7789
2021-04-20,3469,22,424911,7757
2021-04-19,4447,19,421442,7735
2021-04-18,4250,18,416995,7716
2021-04-17,4362,34,412745,7698
2021-04-16,4812,25,408383,7664
2021-04-15,4736,29,403571,7639
2021-04-14,4156,28,398835,7610
2021-04-13,3670,15,394679,7582
2021-04-12,4401,15,391009,7567
2021-04-11,4456,21,386608,7552
2021-04-10,3813,19,382152,7531
2021-04-09,4227,18,378339,7512
